"","Symbol","Year","Count"
"1091","ASCMA","2011",4
"1092","ASCMA","2012",4
"1093","ASCMA","2013",4
"1094","ASCMA","2014",4
"1095","ASCQU","2007",4
"1096","ASG","2006",4
"1097","ASG","2009",4
"1098","ASG","2010",4
"1099","ASG","2011",4
"1100","ASGR","2006",4
"1101","ASH","2006",4
"1102","ASH","2007",4
"1103","ASH","2008",4
"1104","ASH","2009",4
"1105","ASH","2010",4
"1106","ASH","2011",4
"1107","ASH","2012",4
"1108","ASH","2013",4
"1109","ASH","2014",4
"1110","ASHW","2006",4
"1111","ASHW","2007",4
"1112","ASMB","2011",4
"1113","ASMB","2012",4
"1114","ASMB","2013",4
"1115","ASML","2008",4
"1116","ASML","2009",4
"1117","ASNA","2007",4
"1118","ASNA","2008",4
"1119","ASRV","2009",4
"1120","ASRV","2010",4
"1121","ASRV","2011",4
"1122","ASRV","2012",4
"1123","ASRV","2013",4
"1124","ASTE","2011",4
"1125","ASTE","2012",4
"1126","ASTE","2013",4
"1127","ASTE","2014",4
"1128","ASTX","2012",4
"1129","ASYS","2010",4
"1130","ASYS","2011",4
"1131","ASYS","2012",4
"1132","ASYS","2013",4
"1133","ASYS","2014",4
